bin.chrom	bin.start.chrompos	bin.start.abspos	bin.end.chrompos	bin.length	mappable.positions	gc.content
chr1	0	0	554933	554933	391976	0.430984845608
chr1	554933	554933	1019376	464443	391977	0.507965421094
chr1	1019376	1019376	1414815	395439	391976	0.598842810938
chr1	1414815	1414815	1827710	412895	391977	0.536886923373
chr1	1827710	1827710	2220321	392611	391977	0.570026973126
chr1	2220321	2220321	2631184	410863	391976	0.601852189892
chr1	2631184	2631184	3026520	395336	391977	0.565301241103
chr1	3026520	3026520	3419371	392851	391976	0.576401351142
chr1	3419371	3419371	3812773	393402	391977	0.565329788208
chr1	3812773	3812773	4205128	392355	391977	0.504994697904
chr1	4205128	4205128	4597318	392190	391976	0.472806686521
chr1	4597318	4597318	4989358	392040	391977	0.481736650665
chr1	4989358	4989358	5381336	391978	391976	0.439785193122
chr1	5381336	5381336	5773763	392427	391977	0.473762132768
chr1	5773763	5773763	6166130	392367	391977	0.524620956294
chr1	6166130	6166130	6558567	392437	391976	0.555946274453
chr1	6558567	6558567	6950768	392201	391977	0.474904577476
chr1	6950768	6950768	7343410	392642	391976	0.467795254735
chr1	7343410	7343410	7735776	392366	391977	0.513795722383
chr1	7735776	7735776	8127841	392065	391977	0.444929055493
chr1	8127841	8127841	8520042	392201	391976	0.467502798296
chr1	8520042	8520042	8912245	392203	391977	0.412896316977
chr1	8912245	8912245	9304453	392208	391976	0.489926314984
chr1	9304453	9304453	9696614	392161	391977	0.514877742163
chr1	9696614	9696614	10088600	391986	391977	0.488869557231
chr1	10088600	10088600	10480576	391976	391976	0.437233722301
chr1	10480576	10480576	10872778	392202	391977	0.506720992137
chr1	10872778	10872778	11265314	392536	391976	0.491621193362
chr1	11265314	11265314	11657595	392281	391977	0.49683774214
chr1	11657595	11657595	12049572	391977	391977	0.522387678932
chr1	12049572	12049572	12441781	392209	391976	0.478630125111
chr1	12441781	12441781	12833787	392006	391977	0.459664088488
chr1	12833787	12833787	13309123	475336	391976	0.456031369189
chr1	13309123	13309123	13909127	600004	391977	0.467763442176
chr1	13909127	13909127	14301359	392232	391977	0.43783812724
chr1	14301359	14301359	14694348	392989	391976	0.420750093514
chr1	14694348	14694348	15087024	392676	391977	0.447768909896
chr1	15087024	15087024	15479000	391976	391976	0.500492374572
chr1	15479000	15479000	15871170	392170	391977	0.482920759259
chr1	15871170	15871170	16263147	391977	391977	0.472015082441
chr1	16263147	16263147	16656036	392889	391976	0.5197370263
chr1	16656036	16656036	17074491	418455	391977	0.482704316095
chr1	17074491	17074491	17473833	399342	391977	0.499258610424
chr1	17473833	17473833	17865827	391994	391976	0.500645414749
chr1	17865827	17865827	18257804	391977	391977	0.513685682141
chr1	18257804	18257804	18649898	392094	391976	0.492841038929
chr1	18649898	18649898	19041875	391977	391977	0.489079772131
chr1	19041875	19041875	19433985	392110	391977	0.506011037663
chr1	19433985	19433985	19826449	392464	391976	0.474390138254
chr1	19826449	19826449	20218587	392138	391977	0.468363339624
chr1	20218587	20218587	20610661	392074	391976	0.458673828543
chr1	20610661	20610661	21002728	392067	391977	0.491288523194
chr1	21002728	21002728	21395753	393025	391977	0.419205296328
chr1	21395753	21395753	21789397	393644	391976	0.466721368946
chr1	21789397	21789397	22182636	393239	391977	0.497109914785
chr1	22182636	22182636	22578011	395375	391976	0.505838731135
chr1	22578011	22578011	22969988	391977	391977	0.488370550463
chr1	22969988	22969988	23362094	392106	391977	0.497123241556
chr1	23362094	23362094	23754152	392058	391976	0.439542416977
chr1	23754152	23754152	24146170	392018	391977	0.487089944391
chr1	24146170	24146170	24539142	392972	391976	0.472204267967
chr1	24539142	24539142	24931119	391977	391977	0.459317973667
chr1	24931119	24931119	25324392	393273	391977	0.468638993071
chr1	25324392	25324392	25729868	405476	391976	0.474447442278
chr1	25729868	25729868	26124411	394543	391977	0.478799629953
chr1	26124411	26124411	26516622	392211	391976	0.486296986586
chr1	26516622	26516622	26908659	392037	391977	0.492481615349
chr1	26908659	26908659	27302104	393445	391977	0.475451585601
chr1	27302104	27302104	27694671	392567	391976	0.495247969147
chr1	27694671	27694671	28086874	392203	391977	0.494032457516
chr1	28086874	28086874	28479705	392831	391976	0.44257738021
chr1	28479705	28479705	28871905	392200	391977	0.45562745728
chr1	28871905	28871905	29264041	392136	391977	0.473195660711
chr1	29264041	29264041	29656183	392142	391976	0.455024174793
chr1	29656183	29656183	30048541	392358	391977	0.48344611322
chr1	30048541	30048541	30440756	392215	391976	0.47756726506
chr1	30440756	30440756	30833128	392372	391977	0.473639945562
chr1	30833128	30833128	31228302	395174	391977	0.486072028666
chr1	31228302	31228302	31620858	392556	391976	0.467706682834
chr1	31620858	31620858	32012954	392096	391977	0.462440512321
chr1	32012954	32012954	32405291	392337	391977	0.496389601849
chr1	32405291	32405291	32797267	391976	391976	0.472766328723
chr1	32797267	32797267	33189268	392001	391977	0.463792368936
chr1	33189268	33189268	33582569	393301	391976	0.476724052448
chr1	33582569	33582569	33974894	392325	391977	0.466317638093
chr1	33974894	33974894	34367444	392550	391977	0.448689600359
chr1	34367444	34367444	34761801	394357	391976	0.453541062839
chr1	34761801	34761801	35156976	395175	391977	0.433469053108
chr1	35156976	35156976	35549476	392500	391976	0.455001503177
chr1	35549476	35549476	35941677	392201	391977	0.414099331214
chr1	35941677	35941677	36333654	391977	391977	0.440000612278
chr1	36333654	36333654	36725737	392083	391976	0.452718160603
chr1	36725737	36725737	37117830	392093	391977	0.487310473227
chr1	37117830	37117830	37509915	392085	391976	0.491679142639
chr1	37509915	37509915	37902374	392459	391977	0.466790330759
chr1	37902374	37902374	38294351	391977	391977	0.479995101778
chr1	38294351	38294351	38686397	392046	391976	0.480627372159
chr1	38686397	38686397	39078531	392134	391977	0.440227370096
chr1	39078531	39078531	39471122	392591	391976	0.446357933025
chr1	39471122	39471122	39863443	392321	391977	0.433303680896
chr1	39863443	39863443	40262173	398730	391977	0.47816578554
chr1	40262173	40262173	40654862	392689	391976	0.445263578743
chr1	40654862	40654862	41049600	394738	391977	0.42414500684
chr1	41049600	41049600	41441646	392046	391976	0.474633208179
chr1	41441646	41441646	41834158	392512	391977	0.429419078046
chr1	41834158	41834158	42226135	391977	391977	0.508570612201
chr1	42226135	42226135	42620115	393980	391976	0.42982166698
chr1	42620115	42620115	43014397	394282	391977	0.407330756511
chr1	43014397	43014397	43406761	392364	391976	0.436164193636
